COUNTY,RISK_RATNG
Hampshire,Relatively Low
Middlesex,Relatively High
Nantucket,Relatively Moderate
Norfolk,Relatively Moderate
Plymouth,Relatively Moderate
Suffolk,Relatively Moderate
Worcester,Relatively Moderate
Alcona,Very Low
Alger,Very Low
Allegan,Relatively Low
Alpena,Very Low
Antrim,Very Low
Arenac,Very Low
Baraga,Very Low
Barry,Very Low
Bay,Relatively Low
Benzie,Very Low
Berrien,Relatively Low
Branch,Very Low
Calhoun,Relatively Low
Cass,Very Low
Charlevoix,Very Low
Cheboygan,Very Low
Chippewa,Very Low
Clare,Very Low
Clinton,Relatively Low
Crawford,Very Low
Delta,Very Low
Dickinson,Very Low
Eaton,Relatively Low
Emmet,Very Low
Genesee,Relatively Moderate
Gladwin,Very Low
Gogebic,Very Low
Grand Traverse,Very Low
Gratiot,Very Low
Hillsdale,Relatively Low
Houghton,Very Low
Huron,Very Low
Ingham,Relatively Moderate
Ionia,Relatively Low
Iosco,Very Low
Iron,Very Low
Isabella,Relatively Low
Jackson,Relatively Low
Kalamazoo,Relatively Low
Kalkaska,Very Low
Kent,Relatively Moderate
Keweenaw,Very Low
Lake,Very Low
Lapeer,Relatively Low
Leelanau,Very Low
Lenawee,Relatively Low
Livingston,Relatively Low
Luce,Very Low
Mackinac,Very Low
Macomb,Relatively Moderate
Manistee,Very Low
Marquette,Very Low
Mason,Very Low
Mecosta,Very Low
Menominee,Very Low
Midland,Relatively Low
Missaukee,Very Low
Monroe,Relatively Low
Montcalm,Relatively Low
Montmorency,Very Low
Muskegon,Relatively Low
Newaygo,Very Low
Oakland,Relatively High
Oceana,Very Low
Ogemaw,Very Low
Ontonagon,Very Low
Osceola,Very Low
Oscoda,Very Low
Otsego,Very Low
Ottawa,Relatively Low
Presque Isle,Very Low
Roscommon,Very Low
Saginaw,Relatively Low
St. Clair,Relatively Low
St. Joseph,Relatively Low
Sanilac,Very Low
Schoolcraft,Very Low
Shiawassee,Relatively Low
Tuscola,Relatively Low
Van Buren,Relatively Low
Washtenaw,Relatively Moderate
Wayne,Relatively High
Wexford,Very Low
Aitkin,Very Low
Anoka,Relatively Moderate
Becker,Very Low
Beltrami,Very Low
Benton,Relatively Low
Big Stone,Very Low
Blue Earth,Relatively Low
Brown,Relatively Low
Carlton,Very Low
Carver,Relatively Low
Cass,Very Low
Chippewa,Very Low
Chisago,Relatively Low
Clay,Relatively Low
Clearwater,Very Low
Cook,Very Low
Cottonwood,Very Low
Crow Wing,Very Low
Dakota,Relatively Moderate
Dodge,Very Low
Douglas,Very Low
Faribault,Very Low
Fillmore,Very Low
Freeborn,Relatively Low
Goodhue,Relatively Low
Grant,Very Low
Hennepin,Relatively High
Houston,Very Low
Hubbard,Very Low
Isanti,Very Low
Itasca,Very Low
Jackson,Very Low
Kanabec,Very Low
Kandiyohi,Relatively Low
Kittson,Very Low
Koochiching,Very Low
Lac qui Parle,Very Low
Lake,Very Low
Lake of the Woods,Very Low
Le Sueur,Very Low
Lincoln,Very Low
Lyon,Very Low
McLeod,Very Low
Mahnomen,Very Low
Marshall,Very Low
Martin,Relatively Low
Meeker,Very Low
Mille Lacs,Very Low
Morrison,Relatively Low
Mower,Relatively Low
Murray,Very Low
Nicollet,Relatively Low
Nobles,Relatively Low
Norman,Very Low
Olmsted,Relatively Low
Otter Tail,Relatively Low
Pennington,Very Low
Pine,Very Low
Pipestone,Very Low
Polk,Relatively Low
Pope,Very Low
Ramsey,Relatively Moderate
Red Lake,Very Low
Redwood,Very Low
Renville,Very Low
Rice,Relatively Low
Rock,Very Low
Roseau,Relatively Low
St. Louis,Relatively Low
Scott,Relatively Moderate
Sherburne,Relatively Low
Sibley,Very Low
Stearns,Relatively Low
Steele,Relatively Low
Stevens,Very Low
Swift,Very Low
Todd,Very Low
Traverse,Very Low
Wabasha,Relatively Low
Wadena,Very Low
Waseca,Very Low
Washington,Relatively Moderate
Watonwan,Very Low
Wilkin,Very Low
Winona,Relatively Low
Wright,Relatively Low
Yellow Medicine,Very Low
Adams,Relatively Low
Alcorn,Relatively Low
Amite,Relatively Low
Attala,Very Low
Benton,Very Low
Bolivar,Relatively Low
Calhoun,Very Low
Carroll,Very Low
Chickasaw,Relatively Low
Choctaw,Very Low
Claiborne,Very Low
Clarke,Relatively Low
Clay,Very Low
Coahoma,Relatively Low
Copiah,Relatively Low
Covington,Relatively Low
DeSoto,Relatively Moderate
Forrest,Relatively Moderate
Franklin,Very Low
George,Relatively Moderate
Greene,Relatively Low
Grenada,Relatively Low
Hancock,Relatively Moderate
Harrison,Relatively High
Hinds,Relatively Moderate
Holmes,Relatively Low
Humphreys,Very Low
Issaquena,Very Low
Itawamba,Very Low
Jackson,Relatively High
Jasper,Relatively Low
Jefferson,Very Low
Jefferson Davis,Very Low
Jones,Relatively Moderate
Kemper,Very Low
Lafayette,Relatively Low
Lamar,Relatively Low
Lauderdale,Relatively Moderate
Lawrence,Very Low
Leake,Relatively Low
Lee,Relatively Low
Leflore,Relatively Low
Lincoln,Relatively Low
Lowndes,Relatively Low
Madison,Relatively Moderate
Marion,Relatively Low
Marshall,Relatively Low
Monroe,Relatively Low
Montgomery,Very Low
Neshoba,Relatively Low
Newton,Relatively Low
Noxubee,Very Low
Oktibbeha,Relatively Low
Panola,Relatively Low
Pearl River,Relatively Moderate
Perry,Relatively Low
Pike,Relatively Low
Pontotoc,Relatively Low
Prentiss,Very Low
Quitman,Very Low
Rankin,Relatively Moderate
Scott,Relatively Low
Sharkey,Very Low
Simpson,Relatively Low
Smith,Relatively Low
Stone,Relatively Low
Sunflower,Relatively Low
Tallahatchie,Very Low
Tate,Relatively Low
Tippah,Relatively Low
Tishomingo,Very Low
Tunica,Relatively Low
Union,Very Low
Walthall,Relatively Low
Warren,Relatively Low
Washington,Relatively Moderate
Wayne,Relatively Low
Webster,Very Low
Wilkinson,Very Low
Winston,Relatively Low
Yalobusha,Very Low
Yazoo,Relatively Low
Adair,Relatively Low
Andrew,Relatively Low
Atchison,Very Low
Audrain,Very Low
Barry,Relatively Low
Barton,Relatively Low
Bates,Very Low
Benton,Relatively Low
Bollinger,Relatively Low
Boone,Relatively Moderate
Buchanan,Relatively Low
Butler,Relatively Moderate
Caldwell,Very Low
Callaway,Relatively Low
Camden,Relatively Low
Cape Girardeau,Relatively Moderate
Carroll,Very Low
Carter,Very Low
Cass,Relatively Low
Cedar,Very Low
Chariton,Very Low
Christian,Relatively Low
Clark,Very Low
Clay,Relatively Moderate
Clinton,Relatively Low
Cole,Relatively Low
Cooper,Very Low
Crawford,Relatively Low
Dade,Very Low
Dallas,Relatively Low
Daviess,Very Low
DeKalb,Very Low
Dent,Very Low
Douglas,Very Low
Dunklin,Relatively Moderate
Franklin,Relatively Low
Gasconade,Very Low
Gentry,Very Low
Greene,Relatively Moderate
Grundy,Very Low
Harrison,Very Low
Henry,Very Low
Hickory,Very Low
Holt,Very Low
Howard,Very Low
Howell,Relatively Low
Iron,Relatively Low
Jackson,Relatively High
Jasper,Relatively Moderate
Jefferson,Relatively Moderate
Johnson,Relatively Low
Knox,Very Low
Laclede,Relatively Low
Lafayette,Very Low
Lawrence,Relatively Low
Lewis,Very Low
Lincoln,Relatively Low
Linn,Very Low
Livingston,Very Low
McDonald,Relatively Low
Macon,Very Low
Madison,Relatively Low
Maries,Very Low
Marion,Very Low
Mercer,Very Low
Miller,Relatively Low
Mississippi,Relatively Low
Moniteau,Very Low
Monroe,Very Low
Montgomery,Very Low
Morgan,Relatively Low
New Madrid,Relatively Moderate
Newton,Relatively Low
Nodaway,Relatively Low
Oregon,Relatively Low
Osage,Very Low
Ozark,Very Low
Pemiscot,Relatively Low
Perry,Relatively Low
Pettis,Relatively Low
Phelps,Relatively Low
Pike,Very Low
Platte,Relatively Low
Polk,Relatively Low
Pulaski,Relatively Low
Putnam,Very Low
Ralls,Very Low
Randolph,Very Low
Ray,Very Low
Reynolds,Very Low
Ripley,Relatively Low
St. Charles,Relatively Moderate
St. Clair,Very Low
Ste. Genevieve,Very Low
St. Francois,Relatively Low
St. Louis,Relatively High
Saline,Very Low
Schuyler,Very Low
Scotland,Very Low
Scott,Relatively Moderate
Shannon,Very Low
Shelby,Very Low
Stoddard,Relatively Low
Stone,Relatively Low
Sullivan,Very Low
Taney,Relatively Low
Texas,Relatively Low
Vernon,Very Low
Warren,Relatively Low
Washington,Relatively Low
Wayne,Relatively Low
Webster,Relatively Low
Worth,Very Low
Wright,Relatively Low
St. Louis,Relatively Moderate
Beaverhead,Very Low
Big Horn,Very Low
Blaine,Very Low
Broadwater,Very Low
Carbon,Very Low
Carter,Very Low
Cascade,Relatively Low
Chouteau,Very Low
Custer,Very Low
Daniels,Very Low
Dawson,Very Low
Deer Lodge,Very Low
Fallon,Very Low
Fergus,Very Low
Flathead,Relatively Moderate
Gallatin,Relatively Low
Garfield,Very Low
Glacier,Very Low
Golden Valley,Very Low
Granite,Very Low
Hill,Very Low
Jefferson,Very Low
Judith Basin,Very Low
Lake,Relatively Low
Lewis and Clark,Relatively Low
Liberty,Very Low
Lincoln,Very Low
McCone,Very Low
Madison,Very Low
Meagher,Very Low
Mineral,Very Low
Missoula,Relatively Low
Musselshell,Very Low
Park,Very Low
Petroleum,Very Low
Phillips,Very Low
Pondera,Very Low
Powder River,Very Low
Powell,Very Low
Prairie,Very Low
Ravalli,Relatively Moderate
Richland,Very Low
Roosevelt,Relatively Low
Rosebud,Very Low
Sanders,Very Low
Sheridan,Very Low
Silver Bow,Relatively Low
Stillwater,Very Low
Sweet Grass,Very Low
Teton,Very Low
Toole,Very Low
Treasure,Very Low
Valley,Very Low
Wheatland,Very Low
Wibaux,Very Low
Yellowstone,Relatively Low
Adams,Relatively Low
Antelope,Very Low
Arthur,Very Low
Banner,Very Low
Blaine,Very Low
Boone,Very Low
Box Butte,Very Low
Boyd,Very Low
Brown,Very Low
Buffalo,Relatively Low
Burt,Very Low
Butler,Very Low
Cass,Very Low
Cedar,Very Low
Chase,Very Low
Cherry,Very Low
Cheyenne,Very Low
Clay,Relatively Low
Colfax,Very Low
Cuming,Very Low
Custer,Very Low
Dakota,Relatively Low
Dawes,Very Low
Dawson,Relatively Low
Deuel,Very Low
Dixon,Very Low
Dodge,Relatively Low
Douglas,Relatively High
Dundy,Very Low
Fillmore,Relatively Low
Franklin,Very Low
Frontier,Very Low
Furnas,Relatively Low
Gage,Relatively Low
Garden,Very Low
Garfield,Very Low
Gosper,Very Low
Grant,Very Low
Greeley,Very Low
Hall,Relatively Moderate
Hamilton,Relatively Low
Harlan,Relatively Low
Hayes,Very Low
Hitchcock,Very Low
Holt,Very Low
Hooker,Very Low
Howard,Relatively Low
Jefferson,Very Low
Johnson,Very Low
Kearney,Relatively Low
Keith,Very Low
Keya Paha,Very Low
Kimball,Very Low
Knox,Very Low
Lancaster,Relatively Moderate
Lincoln,Relatively Low
Logan,Very Low
Loup,Very Low
McPherson,Very Low
Madison,Relatively Low
Merrick,Relatively Low
Morrill,Very Low
Nance,Very Low
Nemaha,Very Low
Nuckolls,Very Low
Otoe,Very Low
Pawnee,Very Low
Perkins,Very Low
Phelps,Relatively Low
Pierce,Very Low
Platte,Relatively Low
Polk,Relatively Low
Red Willow,Very Low
Richardson,Very Low
Rock,Very Low
Saline,Relatively Low
Sarpy,Relatively Moderate
Saunders,Relatively Low
Scotts Bluff,Relatively Low
Seward,Relatively Low
Sheridan,Very Low
Sherman,Very Low
Sioux,Very Low
Stanton,Very Low
Thayer,Relatively Low
Thomas,Very Low
Thurston,Very Low
Valley,Very Low
Washington,Relatively Low
Wayne,Very Low
Webster,Relatively Low
Wheeler,Very Low
York,Relatively Low
Churchill,Relatively Low
Clark,Relatively High
Douglas,Relatively Moderate
Elko,Relatively Moderate
Esmeralda,Very Low
Eureka,Relatively Low
Humboldt,Relatively Moderate
Lander,Relatively Low
Lincoln,Relatively Low
Lyon,Relatively Moderate
Mineral,Very Low
Nye,Relatively Low
Pershing,Relatively Low
Storey,Relatively Low
Washoe,Relatively High
White Pine,Very Low
Carson City,Relatively Moderate
Belknap,Very Low
Carroll,Relatively Low
Cheshire,Relatively Low
Coos,Very Low
Grafton,Relatively Low
Hillsborough,Relatively Moderate
Merrimack,Relatively Low
Rockingham,Relatively Moderate
Strafford,Relatively Low
Sullivan,Very Low
Atlantic,Relatively High
Bergen,Relatively High
Burlington,Relatively Moderate
Camden,Relatively Moderate
Cape May,Relatively Moderate
Cumberland,Relatively Moderate
Essex,Relatively Moderate
Gloucester,Relatively Moderate
Hudson,Relatively Moderate
Hunterdon,Relatively Low
Mercer,Relatively Moderate
Middlesex,Relatively High
Monmouth,Relatively High
Morris,Relatively Moderate
Ocean,Relatively High
Passaic,Relatively Moderate
Salem,Relatively Low
Somerset,Relatively Moderate
Sussex,Relatively Low
Union,Relatively Moderate
Warren,Relatively Low
Bernalillo,Relatively Moderate
Catron,Very Low
Chaves,Relatively Low
Cibola,Very Low
Colfax,Relatively Low
Curry,Relatively Low
De Baca,Very Low
Doña Ana,Relatively Moderate
Eddy,Relatively Low
Grant,Relatively Low
Guadalupe,Very Low
Harding,Very Low
Hidalgo,Very Low
Lea,Relatively Moderate
Lincoln,Relatively Low
Los Alamos,Very Low
Luna,Relatively Low
McKinley,Relatively Low
Mora,Very Low
Otero,Relatively Moderate
Quay,Very Low
Rio Arriba,Relatively Low
Roosevelt,Relatively Moderate
Sandoval,Relatively Low
San Juan,Relatively Low
San Miguel,Relatively Low
Santa Fe,Relatively Low
Sierra,Very Low
Socorro,Relatively Low
Taos,Relatively Low
Torrance,Very Low
Union,Very Low
Valencia,Relatively Low
Albany,Relatively Low
Allegany,Very Low
Bronx,Relatively High
Broome,Relatively Moderate
Cattaraugus,Relatively Low
Cayuga,Very Low
Chautauqua,Relatively Low
Chemung,Relatively Low
Chenango,Relatively Low
Clinton,Very Low
Columbia,Relatively Low
Cortland,Very Low
Delaware,Relatively Low
Dutchess,Relatively Low
Erie,Relatively Moderate
Essex,Relatively Low
Franklin,Very Low
Fulton,Very Low
Genesee,Very Low
Greene,Relatively Low
Hamilton,Very Low
Herkimer,Very Low
Jefferson,Very Low
Kings,Relatively High
Lewis,Very Low
Livingston,Very Low
Madison,Very Low
Monroe,Relatively Low
Montgomery,Very Low
Nassau,Relatively High
New York,Relatively High
Niagara,Very Low
Oneida,Relatively Low
Onondaga,Relatively Low
Ontario,Very Low
Orange,Relatively Moderate
Orleans,Very Low
Oswego,Very Low
Otsego,Relatively Low
Putnam,Relatively Low
Queens,Relatively High
Rensselaer,Relatively Low
Richmond,Relatively Moderate
Rockland,Relatively Moderate
St. Lawrence,Very Low
Saratoga,Relatively Low
Schenectady,Relatively Low
Schoharie,Very Low
Schuyler,Very Low
Seneca,Very Low
Steuben,Relatively Low
Suffolk,Relatively High
Sullivan,Relatively Low
Tioga,Relatively Low
Tompkins,Very Low
Ulster,Relatively Low
Warren,Very Low
Washington,Very Low
Wayne,Very Low
Westchester,Relatively Moderate
Wyoming,Very Low
Yates,Very Low
Alamance,Relatively Low
Alexander,Very Low
Alleghany,Very Low
Anson,Relatively Low
Ashe,Very Low
Avery,Very Low
Beaufort,Relatively Moderate
Bertie,Relatively Low
Bladen,Relatively Moderate
Brunswick,Relatively High
Buncombe,Relatively Low
Burke,Relatively Low
Cabarrus,Relatively Low
Caldwell,Relatively Low
Camden,Relatively Low
Carteret,Relatively High
Caswell,Very Low
Catawba,Relatively Low
Chatham,Relatively Low
Cherokee,Very Low
Chowan,Relatively Low
Clay,Very Low
Cleveland,Relatively Low
Columbus,Relatively Moderate
Craven,Relatively High
Cumberland,Relatively Moderate
Currituck,Relatively Low
Dare,Relatively High
Davidson,Relatively Low
Davie,Very Low
Duplin,Relatively Moderate
Durham,Relatively Moderate
Edgecombe,Relatively Low
Forsyth,Relatively Low
Franklin,Relatively Low
Gaston,Relatively Low
Gates,Very Low
Graham,Very Low
Granville,Relatively Low
Greene,Relatively Low
Guilford,Relatively Moderate
Halifax,Relatively Low
Harnett,Relatively Moderate
Haywood,Relatively Low
Henderson,Relatively Low
Hertford,Relatively Low
Hoke,Relatively Low
Hyde,Relatively Low
Iredell,Relatively Low
Jackson,Very Low
Johnston,Relatively Moderate
Jones,Relatively Low
Lee,Relatively Low
Lenoir,Relatively Moderate
Lincoln,Relatively Low
McDowell,Relatively Low
Macon,Very Low
Madison,Very Low
Martin,Relatively Low
Mecklenburg,Relatively Moderate
Mitchell,Very Low
Montgomery,Relatively Low
Moore,Relatively Low
Nash,Relatively Moderate
New Hanover,Relatively High
Northampton,Relatively Low
Onslow,Relatively High
Orange,Relatively Low
Pamlico,Relatively Moderate
Pasquotank,Relatively Moderate
Pender,Relatively Moderate
Perquimans,Relatively Low
Person,Very Low
Pitt,Relatively Moderate
Polk,Very Low
Randolph,Relatively Low
Richmond,Relatively Low
Robeson,Relatively Moderate
Rockingham,Relatively Low
Rowan,Relatively Low
Rutherford,Relatively Low
Sampson,Relatively Moderate
Scotland,Relatively Low
Stanly,Relatively Low
Stokes,Very Low
Surry,Very Low
Swain,Very Low
Transylvania,Very Low
Tyrrell,Relatively Low
Union,Relatively Moderate
Vance,Relatively Low
Wake,Relatively Moderate
Warren,Relatively Low
Washington,Relatively Moderate
Watauga,Relatively Low
Wayne,Relatively Moderate
Wilkes,Relatively Low
Wilson,Relatively Moderate
Yadkin,Very Low
Yancey,Very Low
Adams,Very Low
Barnes,Very Low
Benson,Very Low
Billings,Very Low
Bottineau,Very Low
Bowman,Very Low
Burke,Very Low
Burleigh,Relatively Low
Cass,Relatively Moderate
Cavalier,Very Low
Dickey,Very Low
Divide,Very Low
Dunn,Very Low
Eddy,Very Low
Emmons,Relatively Low
Foster,Very Low
Golden Valley,Very Low
Grand Forks,Relatively Moderate
Grant,Very Low
Griggs,Very Low
Hettinger,Very Low
Kidder,Very Low
LaMoure,Very Low
Logan,Very Low
McHenry,Relatively Low
McIntosh,Very Low
McKenzie,Relatively Low
McLean,Relatively Low
Mercer,Very Low
Morton,Relatively Low
Mountrail,Very Low
Nelson,Very Low
Oliver,Very Low
Pembina,Very Low
Pierce,Very Low
Ramsey,Relatively Low
Ransom,Very Low
Renville,Very Low
Richland,Relatively Low
Rolette,Relatively Low
Sargent,Very Low
Sheridan,Very Low
Sioux,Very Low
Slope,Very Low
Stark,Relatively Low
Steele,Very Low
Stutsman,Relatively Low
Towner,Very Low
Traill,Very Low
Walsh,Relatively Low
Ward,Relatively Low
Wells,Very Low
Williams,Relatively Low
Adams,Relatively Low
Allen,Relatively Low
Ashland,Very Low
Ashtabula,Relatively Low
Athens,Very Low
Auglaize,Very Low
Belmont,Relatively Low
Brown,Relatively Low
Butler,Relatively Moderate
Carroll,Very Low
Champaign,Very Low
Clark,Relatively Low
Clermont,Relatively Low
Clinton,Very Low
Columbiana,Relatively Low
Coshocton,Very Low
Crawford,Very Low
Cuyahoga,Relatively Moderate
Darke,Relatively Low
Defiance,Very Low
Delaware,Relatively Low
Erie,Relatively Low
Fairfield,Relatively Low
Fayette,Very Low
Franklin,Relatively Moderate
Fulton,Very Low
Gallia,Very Low
Geauga,Very Low
Greene,Relatively Low
Guernsey,Very Low
Hamilton,Relatively Moderate
Hancock,Relatively Low
Hardin,Very Low
Harrison,Very Low
Henry,Very Low
Highland,Very Low
Hocking,Very Low
Holmes,Relatively Low
Huron,Very Low
Jackson,Very Low
Jefferson,Relatively Low
Knox,Very Low
Lake,Relatively Low
Lawrence,Relatively Low
Licking,Relatively Low
Logan,Very Low
Lorain,Relatively Low
Lucas,Relatively Moderate
Madison,Very Low
Mahoning,Relatively Low
Marion,Very Low
Medina,Relatively Low
Meigs,Very Low
Mercer,Relatively Low
Miami,Relatively Low
Monroe,Very Low
Montgomery,Relatively Moderate
Morgan,Very Low
Morrow,Very Low
Muskingum,Very Low
Noble,Very Low
Ottawa,Very Low
Paulding,Very Low
Perry,Very Low
Pickaway,Very Low
Pike,Very Low
Portage,Relatively Low
Preble,Very Low
Putnam,Very Low
Richland,Relatively Low
Ross,Very Low
Sandusky,Relatively Low
Scioto,Relatively Low
Seneca,Very Low
Shelby,Very Low
Stark,Relatively Low
Summit,Relatively Moderate
Trumbull,Relatively Low
Tuscarawas,Very Low
Union,Very Low
Van Wert,Very Low
Vinton,Very Low
Warren,Relatively Low
Washington,Relatively Low
Wayne,Relatively Low
Williams,Very Low
Wood,Relatively Low
Wyandot,Very Low
Adair,Relatively Low
Alfalfa,Very Low
Atoka,Very Low
Beaver,Very Low
Beckham,Relatively Low
Blaine,Very Low
Bryan,Relatively Low
Caddo,Relatively Low
Canadian,Relatively Moderate
Carter,Relatively Low
Cherokee,Relatively Low
Choctaw,Relatively Low
Cimarron,Very Low
Cleveland,Relatively Moderate
Coal,Very Low
Comanche,Relatively Moderate
Cotton,Very Low
Craig,Relatively Low
Creek,Relatively Moderate
Custer,Relatively Low
Delaware,Relatively Low
Dewey,Very Low
Ellis,Very Low
Garfield,Relatively Low
Garvin,Relatively Low
Grady,Relatively Low
Grant,Very Low
Greer,Very Low
Harmon,Very Low
Harper,Very Low
Haskell,Relatively Low
Hughes,Relatively Low
Jackson,Relatively Low
Jefferson,Very Low
Johnston,Very Low
Kay,Relatively Low
Kingfisher,Relatively Low
Kiowa,Very Low
Latimer,Very Low
Le Flore,Relatively Low
Lincoln,Relatively Low
Logan,Relatively Low
Love,Very Low
McClain,Relatively Low
McCurtain,Relatively Low
McIntosh,Relatively Low
Major,Very Low
Marshall,Relatively Low
Mayes,Relatively Low
Murray,Very Low
Muskogee,Relatively Moderate
Noble,Very Low
Nowata,Very Low
Okfuskee,Very Low
Oklahoma,Relatively High
Okmulgee,Relatively Low
Osage,Relatively Low
Ottawa,Relatively Low
Pawnee,Very Low
Payne,Relatively Low
Pittsburg,Relatively Low
Pontotoc,Relatively Low
Pottawatomie,Relatively Moderate
Pushmataha,Very Low
Roger Mills,Very Low
Rogers,Relatively Low
Seminole,Relatively Low
Sequoyah,Relatively Low
Stephens,Relatively Low
Texas,Relatively Low
Tillman,Very Low
Tulsa,Relatively High
Wagoner,Relatively Low
Washington,Relatively Low
Washita,Very Low
Woods,Very Low
Woodward,Very Low
Baker,Relatively Low
Benton,Relatively Moderate
Clackamas,Relatively High
Clatsop,Relatively Moderate
Columbia,Relatively Moderate
Coos,Relatively Moderate
Crook,Very Low
Curry,Relatively Moderate
Deschutes,Relatively Low
Douglas,Relatively Moderate
Gilliam,Very Low
Grant,Very Low
Harney,Very Low
Hood River,Relatively Low
Jackson,Relatively Moderate
Jefferson,Relatively Low
Josephine,Relatively Moderate
Klamath,Relatively Moderate
Lake,Very Low
Lane,Relatively High
Lincoln,Relatively Moderate
Linn,Relatively Moderate
Malheur,Relatively Low
Marion,Relatively High
Morrow,Very Low
Multnomah,Relatively High
Polk,Relatively Moderate
Sherman,Very Low
Tillamook,Relatively Moderate
Umatilla,Relatively Low
Union,Very Low
Wallowa,Very Low
Wasco,Relatively Low
Washington,Relatively High
Wheeler,Very Low
Yamhill,Relatively Moderate
Adams,Relatively Low
Allegheny,Relatively Low
Armstrong,Very Low
Beaver,Relatively Low
Bedford,Very Low
Berks,Relatively Moderate
Blair,Relatively Low
Bradford,Relatively Low
Bucks,Relatively Moderate
Butler,Relatively Low
Cambria,Relatively Low
Cameron,Very Low
Carbon,Very Low
Centre,Very Low
Chester,Relatively Moderate
Clarion,Very Low
Clearfield,Very Low
Clinton,Very Low
Columbia,Very Low
Crawford,Relatively Low
Cumberland,Relatively Low
Dauphin,Relatively Moderate
Delaware,Relatively Moderate
Elk,Very Low
Erie,Relatively Low
Fayette,Relatively Low
Forest,Very Low
Franklin,Relatively Low
Fulton,Very Low
Greene,Very Low
Huntingdon,Very Low
Indiana,Very Low
Jefferson,Very Low
Juniata,Very Low
Lackawanna,Relatively Low
Lancaster,Relatively Moderate
Lawrence,Very Low
Lebanon,Relatively Low
Lehigh,Relatively Moderate
Luzerne,Relatively Moderate
Lycoming,Relatively Low
McKean,Very Low
Mercer,Very Low
Mifflin,Very Low
Monroe,Relatively Low
Montgomery,Relatively Moderate
Montour,Very Low
Northampton,Relatively Low
Northumberland,Relatively Low
Perry,Very Low
Philadelphia,Relatively High
Pike,Very Low
Potter,Very Low
Schuylkill,Relatively Low
Snyder,Very Low
Somerset,Very Low
Sullivan,Very Low
Susquehanna,Relatively Low
Tioga,Very Low
Union,Very Low
Venango,Relatively Low
Warren,Very Low
Washington,Very Low
Wayne,Relatively Low
Westmoreland,Relatively Low
Wyoming,Very Low
York,Relatively Moderate
Bristol,Very Low
Kent,Relatively Low
Newport,Relatively Low
Providence,Relatively Moderate
Washington,Relatively Low
Abbeville,Very Low
Aiken,Relatively Moderate
Allendale,Relatively Low
Anderson,Relatively Low
Bamberg,Relatively Low
Barnwell,Relatively Low
Beaufort,Relatively High
Berkeley,Relatively High
Calhoun,Very Low
Charleston,Relatively High
Cherokee,Relatively Low
Chester,Relatively Low
Chesterfield,Relatively Low
Clarendon,Relatively Moderate
Colleton,Relatively Moderate
Darlington,Relatively Low
Dillon,Relatively Moderate
Dorchester,Relatively High
Edgefield,Very Low
Fairfield,Very Low
Florence,Relatively Moderate
Georgetown,Relatively Moderate
Greenville,Relatively Moderate
Greenwood,Relatively Low
Hampton,Relatively Low
Horry,Relatively High
Jasper,Relatively Moderate
Kershaw,Relatively Low
Lancaster,Relatively Low
Laurens,Relatively Low
Lee,Relatively Low
Lexington,Relatively Moderate
McCormick,Very Low
Marion,Relatively Moderate
Marlboro,Relatively Low
Newberry,Relatively Low
Oconee,Relatively Low
Orangeburg,Relatively Moderate
Pickens,Relatively Low
Richland,Relatively Moderate
Saluda,Very Low
Spartanburg,Relatively Moderate
Sumter,Relatively Moderate
Union,Relatively Low
Williamsburg,Relatively Moderate
York,Relatively Moderate
Aurora,Very Low
Beadle,Relatively Low
Bennett,Very Low
Bon Homme,Very Low
Brookings,Relatively Low
Brown,Relatively Low
Brule,Very Low
Buffalo,Very Low
Butte,Very Low
Campbell,Very Low
Charles Mix,Very Low
Clark,Very Low
Clay,Relatively Low
Codington,Relatively Low
Corson,Very Low
Custer,Relatively Low
Davison,Relatively Low
Day,Very Low
Deuel,Very Low
Dewey,Very Low
Douglas,Very Low
Edmunds,Very Low
Fall River,Very Low
Faulk,Very Low
Grant,Very Low
Gregory,Very Low
Haakon,Very Low
Hamlin,Very Low
Hand,Very Low
Hanson,Very Low
Harding,Very Low
Hughes,Very Low
Hutchinson,Relatively Low
Hyde,Very Low
Jackson,Very Low
Jerauld,Very Low
Jones,Very Low
Kingsbury,Very Low
Lake,Relatively Low
Lawrence,Relatively Low
Lincoln,Relatively Moderate
Lyman,Very Low
McCook,Relatively Low
McPherson,Very Low
Marshall,Very Low
Meade,Relatively Low
Mellette,Very Low
Miner,Very Low
Minnehaha,Relatively Moderate
Moody,Relatively Low
Oglala Lakota,Relatively Low
Pennington,Relatively Moderate
Perkins,Very Low
Potter,Very Low
Roberts,Relatively Low
Sanborn,Very Low
Spink,Relatively Low
Stanley,Very Low
Sully,Very Low
Todd,Very Low
Tripp,Very Low
Turner,Relatively Low
Union,Relatively Low
Walworth,Very Low
Yankton,Relatively Low
Ziebach,Very Low
Anderson,Relatively Low
Bedford,Relatively Low
Benton,Very Low
Bledsoe,Very Low
Blount,Relatively Low
Bradley,Relatively Low
Campbell,Relatively Low
Cannon,Very Low
Carroll,Relatively Low
Carter,Relatively Low
Cheatham,Very Low
Chester,Relatively Low
Claiborne,Very Low
Clay,Very Low
Cocke,Very Low
Coffee,Relatively Low
Crockett,Relatively Low
Cumberland,Relatively Low
Davidson,Relatively High
Decatur,Very Low
DeKalb,Very Low
Dickson,Relatively Low
Dyer,Relatively Moderate
Fayette,Relatively Low
Fentress,Very Low
